"Position Name","Salary","Job Type","Shift & Schedule","Company","Location","Rating","URL","Id","Posted At","Scraped At","Description Text","Description HTML","External Apply Link"
"Data Analyst","","","","Indicraft Vintage Private Limited","Remote","","https://in.indeed.com/rc/clk?jk=51643d64020c8306&bb=ajtqNLRrB1MU-r2QX055qKMMaTS394kzZIg4LSxIFjLRtuH6W70Dr4DG-zKfDG8yzvRb9mREj7lv_BpS7d1okdETRSdMOoWefAlOxYvAymqdlsbVDfSz15NXFcDDshPc&xkcb=SoBP67M38VQ0ShSKTZ0LbzkdCdPP&fccid=81b3f80bcfbff79a&cmp=Indicraft-Vintage-Private-Limited&ti=Data+Analyst&vjs=3","51643d64020c8306","Just posted","2024-08-31T23:31:22.525Z","","","in.indeed.com/applystart?jk=51643d64020c8306"
"Jr. Python Developer","₹35,000 - ₹45,000 a month","Full-time","Monday to Friday +1","Lemolite Technologies LLP","Remote in Satellite, Ahmedabad, Gujarat","","https://in.indeed.com/rc/clk?jk=a6408713d841d5fc&bb=ajtqNLRrB1MU-r2QX055qBJeadyQH-ZI9YLXY3D9Xk75JH2EyN7V57ipKEQvwrx7TKbeiifW4t5pMRmL1xgNgLHit2_HWb_oYnMffgWt_skH3umeBvGxechmwA6Cfc9h&xkcb=SoD767M38VQ0ShSKTZ0KbzkdCdPP&fccid=774f8dd885cb91ba&cmp=Lemolite-Technologies-LLP&ti=Junior+Python+Developer&vjs=3","a6408713d841d5fc","Active 2 days ago","2024-08-31T23:31:22.528Z","","","in.indeed.com/applystart?jk=a6408713d841d5fc"
"AIML - Python","","","","Virtusa","Hybrid work in Andhra Pradesh","","https://in.indeed.com/rc/clk?jk=8a7c41b851503408&bb=ajtqNLRrB1MU-r2QX055qNZwAVr0Xb3ttugWg4C4fwuBqz5a7QmPFqQc1juJ5-r-dWxHZc-oCnfFIp22c9X4nrpFEuSBco_u7GNTivWkKOct0XeuqcCLkzhr6mPeUFGR&xkcb=SoBm67M38VQ0ShSKTZ0JbzkdCdPP&fccid=3868859e1c2511c6&vjs=3","8a7c41b851503408","Posted 4 days ago","2024-08-31T23:31:22.528Z","","","in.indeed.com/applystart?jk=8a7c41b851503408"
"Junior Python Developers","","","","CAL4CARE","India","","https://in.indeed.com/rc/clk?jk=520d9863c105a1cc&bb=ajtqNLRrB1MU-r2QX055qM-cjwvx_e-FN_XJrDMbN3YyDhoXLymZ9A7-FjeAdDuv8w9FKqfL-bYpSlPiGcFyRgeymBlGCP2kcfe0ZWsdgCAqLHZ84B8Zh3woKvb3rZxY&xkcb=SoDS67M38VQ0ShSKTZ0IbzkdCdPP&fccid=4996e100e807c91a&vjs=3","520d9863c105a1cc","Posted 30+ days ago","2024-08-31T23:31:22.529Z","","","in.indeed.com/applystart?jk=520d9863c105a1cc"
"Python Developers","","","","Absolin","Visakhapatnam, Andhra Pradesh","","https://in.indeed.com/rc/clk?jk=655d0bc872b445d5&bb=ajtqNLRrB1MU-r2QX055qI3HMK3r8eozqjQCfWkXvAnPjghHkIs4NbZSfxcpdGsqqXaNNo7xhIjeg8jB3PHGjsodCK5s_l0jGNGdFIUAkbAB4stQ-nYg89jB7dnud1o0&xkcb=SoBc67M38VQ0ShSKTZ0PbzkdCdPP&fccid=e0e48c390309044b&vjs=3","655d0bc872b445d5","Posted 30+ days ago","2024-08-31T23:31:22.531Z","","","in.indeed.com/applystart?jk=655d0bc872b445d5"
"Python Developer (Trainee)","","","","Everforce Software India","Bengaluru, Karnataka","","https://in.indeed.com/rc/clk?jk=3a479c6a1f0a5b79&bb=ajtqNLRrB1MU-r2QX055qEG9t0GRcKScPbEA5J34TKX7f7edRYfbzZPAxrGBmpUk2l12bHufZiXHux6mXA3JBwWSstYIx-u2kcuHFpSEV_R_FTvZPSexvugZTfyIp94q&xkcb=SoDo67M38VQ0ShSKTZ0ObzkdCdPP&fccid=715ed5be92e16e84&vjs=3","3a479c6a1f0a5b79","Posted 30+ days ago","2024-08-31T23:31:22.532Z","","","in.indeed.com/applystart?jk=3a479c6a1f0a5b79"
"Monitoring and Observability Team Lead","","","","Continent8","Hybrid work in Hyderabad, Telangana","","https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CWYrHwkqvFuwbuslaZIBguUFsjQ-lWspJC2nW9vrQwnWBzXRKO4YEQwTjX-0e8cZmL39O2LW49OnJYMT6YqhfoNxgouDvflxOeslBfblC-GuchOELh8VuTUmea-cUUuyQi8VllFdIqic83iBcJrkIzqOC_MV0uxKhRhqjDmm6P6FjY6QC6XYpnZvsfnxiuYA_ajFejS4SbUR6ogaBkm1zFTtHEftG3X59yeF7Y5_mdzijS9EYwqNc1QudvfYzUIQNXE-B9ysvmtDFhDeTWh0fA7z003Astwf-sraSKAWQ8X-Trg7TZEVW9USX6Xpz8umwxlFVkJ066ox5pglCTWoNYjJV0KCmULc5kdyVrGdJFKTxW8tfkfE_JxtbxWkteqccRJ631ngskE58eiQn-wwIVqQqKUiuqZ6t97XAwoxOI5QakztZeyrMlcDpqE4UfRQIqZpPlLeeh7U_XI3SxbXzWxddAFPFgJ8KDLegUdfcv14t5YPb5l2oTczoX-Ti-1_tmRRWacFbhG5hKTr1oqli2GV7BjcpKdqvvORd0YSAPaWfkm2KwCXTzackslkYFG-qxCHr-qQPaa6sVYs6aTJfbMuDB_Y9Qh3VKLtpT1ampCxs1btu6Km3DRU4QxQ8rssvkzQ1NXlz11bDAaDthgNSFcrN_juWnCt3uQnIsIGAsAeUsfUNj4nhvt0ndpAlQY5g=&xkcb=SoCB6_M38VQ0ShSKTZ0NbzkdCdPP&camk=nUmJqO2E8rhBedGpVNxmvQ==&p=6&fvj=0&vjs=3","9878dddd2643edf4","Active 8 days ago","2024-08-31T23:31:22.547Z","","","in.indeed.com/applystart?jk=9878dddd2643edf4"
"Python Developer","Up to ₹25,00,000 a year","Full-time","Monday to Friday","Bridge Global","Remote","","https://in.indeed.com/rc/clk?jk=26128b4825f914d1&bb=ajtqNLRrB1MU-r2QX055qBEmqgeL7BAbDsNOgThsMDUMyPkS7m6jtw3YCKKWQJ1fss-5_0Kgr5TpsQG-pT-Y08BzK8861PUvBRKlblfEFLNTnefIVxwnDBOFsKBR07B6&xkcb=SoDB67M38VQ0ShSKTZ0MbzkdCdPP&fccid=bcfc9b4d41cc6cd6&cmp=Bridge-Global&ti=Python+Developer&vjs=3","26128b4825f914d1","Active 3 days ago","2024-08-31T23:31:22.549Z","","","in.indeed.com/applystart?jk=26128b4825f914d1"
"Remote Sensing & GIS Intern","₹15,000 a month","Internship","","Iora Ecological Solutions","India","","https://in.indeed.com/rc/clk?jk=b3343104a3c38122&bb=ajtqNLRrB1MU-r2QX055qBkjUZG_u_mffDKc-iuk-A2iTWxbE0yFLVJVpQM5Jm8ORTDSlcdyjxoxuX3bAtl4Sv03w0j6sVxTiem7QojzsVvJsNWkiG-KSzWDZCxlfTAl&xkcb=SoAo67M38VQ0ShSKTZ0DbzkdCdPP&fccid=5726e2a8ea7feac8&vjs=3","b3343104a3c38122","Posted 1 day ago","2024-08-31T23:31:22.550Z","","","in.indeed.com/applystart?jk=b3343104a3c38122"
"Python Developer","","","","edutinker","Remote","","https://in.indeed.com/rc/clk?jk=1fb18977c9b2eb6b&bb=ajtqNLRrB1MU-r2QX055qESIqtDsG-KmiDkbpNdRjY2ufkcIS35FpSvxa7FAd-vYNhmNbWK5IBKq3K7gTJ9c6DseY8K9WHV7RcP7BWFfV_DT9lCWTX01VMxBZCxltXP0&xkcb=SoCc67M38VQ0ShSKTZ0CbzkdCdPP&fccid=7dd57a1605fb485d&cmp=eduTinker&ti=Python+Developer&vjs=3","1fb18977c9b2eb6b","Active 3 days ago","2024-08-31T23:31:22.551Z","","","in.indeed.com/applystart?jk=1fb18977c9b2eb6b"
"Junior Python Developer","","","","PluginLive Technologies Private Limited","Mumbai, Maharashtra","","https://in.indeed.com/rc/clk?jk=39d934a2a4bbff42&bb=ajtqNLRrB1MU-r2QX055qKMMaTS394kzfD1griJpYsjHlqHsmRuITNMB2_EDuLpiVwb754nXFkn2XOVJzEc3LetUGbakXF8aYA57tGvb0P5Y2tCCW02WNcTsTcjqisWE&xkcb=SoAB67M38VQ0ShSKTZ0BbzkdCdPP&fccid=d5b0328b3cc33051&cmp=PluginLive-Technologies-Private-Limited&ti=Junior+Python+Developer&vjs=3","39d934a2a4bbff42","Active 2 days ago","2024-08-31T23:31:22.552Z","","","in.indeed.com/applystart?jk=39d934a2a4bbff42"
"Python - QML Developers","","","","Edrona Learning","India","","https://in.indeed.com/rc/clk?jk=2541d147257f8049&bb=ajtqNLRrB1MU-r2QX055qK2jllVEP2XOCmbPLS4icX9AOjSFjCygof5uojUPO83TlN1f-npSW7fQ_d81MO9hEd2PksW_of29Sq3GIlHPLHGvYxxNUjeUpb3rlcOtJKU3&xkcb=SoC167M38VQ0ShSKTZ0AbzkdCdPP&fccid=2d5b855edc6432b8&vjs=3","2541d147257f8049","Posted 30+ days ago","2024-08-31T23:31:22.553Z","","","in.indeed.com/applystart?jk=2541d147257f8049"
"Python Intern","₹5,000 - ₹6,000 a month","Full-time +1","Day shift +1","GVR Business Transforms","Kochi, Kerala","","https://in.indeed.com/rc/clk?jk=3af5adb7dca16ffc&bb=ajtqNLRrB1MU-r2QX055qCUFRBVfI4BWVxd44QSBjcpPkoS-QVoJbRHt6ABwUQ0pHUKzSXO-zr-1wvDDJgBiWYnDQoq5Bs6ovNDgqYtqZV_W8iDqfWphR61xwtnGUf6d&xkcb=SoA767M38VQ0ShSKTZ0HbzkdCdPP&fccid=3e19f2be03e6bbd1&cmp=GVR-Business-Transforms&ti=Python+Intern&vjs=3","3af5adb7dca16ffc","Posted 2 days ago","2024-08-31T23:31:22.554Z","","","in.indeed.com/applystart?jk=3af5adb7dca16ffc"
"Python Developer","","","","Technology Next","Remote","","https://in.indeed.com/rc/clk?jk=8abfcc17c4aabdcc&bb=ajtqNLRrB1MU-r2QX055qIlr6V5XaZtHSTPe4dkr3NYnlaiOzneozYkW6r3ZGZmQM_ixf3boqjKp3PH94C6HuHsVBlsn-lvmFnFd-Iu-kcUC7tA45_WVXx0YOxwFPV0l&xkcb=SoCP67M38VQ0ShSKTZ0GbzkdCdPP&fccid=b104fa726aff7545&cmp=Technology-Next&ti=Python+Developer&vjs=3","8abfcc17c4aabdcc","Active 2 days ago","2024-08-31T23:31:22.555Z","","","in.indeed.com/applystart?jk=8abfcc17c4aabdcc"
"PYTHON DEVELOPERS","","","","Virtual Web Technologies","Goa","","https://in.indeed.com/rc/clk?jk=0ed721094639db35&bb=ajtqNLRrB1MU-r2QX055qPVNUrj5DRmny1Qnm77OQgxhiBows2xNJ9ySeaBNct_MOfLPkxMT_PJJP3hmhOtyMIsBx2er3aqyDOYII7AgumCb-ephINr1riG1vrTrN0vT&xkcb=SoAS67M38VQ0ShSKTZ0FbzkdCdPP&fccid=de9fe27827fc9803&vjs=3","0ed721094639db35","Posted 30+ days ago","2024-08-31T23:31:22.556Z","","","in.indeed.com/applystart?jk=0ed721094639db35"